Decades,1680,1690,1700,1710,1720,1730,1740,1750,1760,1770,1780,1790,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910
Geography,,0.4078093406254846,,,0.2691449500235281,,,0.4698293060203298,0.14146598203427008,0.04250870362082715,0.2934034267127741,0.3505325740633003,0.29000458931641937,0.22734758975833058,0.6079085545518286,0.3694772577930978,1.2994200980687425,0.24945010141353885,0.5549387515051083,0.3503197032273029,0.4804913254341603,0.714905411943001,1.8746038022659945,1.375025167087248
Electricity,,,,,,,,,,,0.35892305910879596,,,0.5316560875010428,,0.2657802285267894,0.39955705036986444,0.09977313078384942,0.8051720147910437,0.3725277959005542,0.8326517117320011,0.36363734059371877,0.19270007478441942,0.26700475305212823
Tables,,,,,,,,,,,,,,,,,,,0.17169575275318394,0.09638379612643844,0.47177619701687323,0.755118983367558,0.33516915953420634,0.20413498517569906
Meteorology,,,0.5217265328884846,,,0.0591519031767187,0.6818957290855305,1.2062363121564461,0.4566186433496737,0.7335157754327817,0.5312216352430772,0.8153546352675933,0.5030377386013125,0.3924851824299358,0.4665195245979419,1.4545894393751722,0.7489558662576341,0.3817437731453568,0.1499717995916363,0.5879572590847202,0.7538211783923696,0.3815734352425455,0.3528427412013202,0.36880622185255074
Atomic Physics,,,,,,,,,,,,,,,,,,,,0.3501936783037003,0.3975843315165508,0.229456136086009,0.2478284906339452,0.09349178178659523
Thermodynamics,,,,,,,,,,,,,,,,0.5116854115951881,0.5219506958062405,0.4353640646196322,0.5634954084152888,0.7736032608590753,0.13886346532086957,0.1053051006908432,0.18269260541307553,0.1231822708090693
Chemistry 2,,,,,,,,,,,,,,0.3355174577270592,0.5869169706502193,0.3421518523391116,0.16691159678237355,0.7830191362930643,0.17224022468699118,0.24849459069108182,0.5143812073741851,0.3591825108989797,0.4886753456186508,0.32015394261163266
Formulae,0.45182020263036504,0.18984276738576966,0.837343195753169,0.3844768021057714,0.46352453277015027,0.46827062798412467,0.28213938664275506,0.4034908355222262,0.839953159685142,0.6001267556639025,0.2852636424991557,0.4947506123280143,0.6283294506198001,0.252212601493377,0.5890846545489827,0.45388089966677647,0.3063640818566613,0.3771269262974881,0.30894328417421324,0.5649833346030997,0.34652098885814997,0.8774394174977704,0.2552224008722268,0.2540532599449472
Astronomy,0.6033375866005812,0.9990139479185185,0.5243227145697835,0.29614243548525465,0.5030391249691135,0.9903837948961609,0.6431033862818349,0.8408193128068886,0.230064964814769,0.9528566579129656,0.3755454430176397,0.4284187610632584,0.47393419369048573,0.17910106134007187,0.05486468954633228,0.31414626624420494,0.47391369810981665,0.8468524549007421,0.6018766978524455,0.6799680362547145,1.0373348673805518,0.4891256835146933,0.31401867103427294,
Fluid Dynamics,,,,,,0.6790782379293834,0.6495784706362873,0.47859756815331966,0.4089478339805508,0.9960483583605884,0.32040491708778696,0.7042443648642767,0.7624452589886532,0.8230958491257843,0.4616767345269457,0.2010478209040656,0.6279661471395608,0.17408098849536158,0.4185144432927119,0.5017998395892671,0.11030078236284746,0.19721320921519814,0.29095700752707643,0.31424268927381505
Biochemistry,,,,,,,,,,,,,,,,,,0.6257761235775394,0.598460382870214,0.5326906312443196,0.2587874323974093,0.9829821655507658,0.2510918165166274,0.31776911453928136
Biography,,,,,,,,,,,0.06314361465291096,0.9275480327031982,,,0.09138919606458007,,0.1962960423536777,0.3732697596975276,0.7865310956319891,0.7357789405746242,0.4968955462208937,0.3943972218975782,0.607289408585312,0.08003885793579668
Optics,,,,,0.18843661314115145,0.5577372693093716,0.45401261640794743,,0.36445683102468784,,,0.29442923985246416,0.516291887374738,0.7247150827450053,0.5150535118444299,0.8918922981271478,0.40676543822026634,0.262729283916352,0.11641681152682448,0.21081539943749172,0.19144496686130763,0.2259708682884689,0.5400097048458496,0.2271644933928325
Measurement,0.4083486193721173,0.43930370464723945,0.34759534090157906,0.3474561222498602,0.2441850474078504,0.591453111364272,0.735267840933572,0.80478762114425,0.42271464823765914,0.5533331959112879,0.3616807911710742,0.5258628337473992,0.5648428189894981,0.39230273189427267,0.3738188504622282,0.17137582902042414,1.5119017021728283,0.4922184259780522,0.934908784626467,0.42066307125060254,0.3715306074603304,0.8190160762629053,0.33265360156358836,0.1931289448710558
Biology 3,,,,,,,,,,,,,,,,,1.0558866954727746,0.6285376157072307,0.28423667807638875,0.7944618055651542,0.37179818048738866,0.7776783059593395,0.5395375779790665,0.5906942450397246
Agriculture,,,,,,,,0.26338925546827285,0.7575116483581814,,,0.33459105248678656,1.2628629655011814,,,,0.16056552371735044,0.8606631858208198,0.7298554012684271,0.6015542384611976,0.668005027590624,1.5039221460753938,0.4078739566041918,0.7135784517131931
Immunology,,,,,,,,,,,,,,,,,,,,,0.940688044578545,0.2070159189466665,0.7307214538057178,0.39310984752184774
Biology 1,,,,,0.09584637471421509,,,0.31399693116984295,0.32475795880899394,0.27309075627592927,0.3876642174840397,0.11852644530291823,0.420026004971656,0.6143794676828325,0.6313112741974853,0.8275646885171444,,,0.6728160636241327,0.6330440615471145,0.5075783184369023,0.708410649288993,0.5809274621839462,0.41018377424959107
Nervous System,,,,,,,,,,,,,,,,,,0.29589017764349546,0.8802581340002655,0.5043139361618341,0.44456350084209184,0.3968880562043027,0.31044793536159654,0.25989659096240425
Physiology,,,,,,,,,,,,,,,,,,,0.4987075126359617,0.6730592263417048,0.8814733639304659,0.5160032265795067,0.6712325934410899,0.19827608108035122
